university,url
上智大学,https://www.sophia.ac.jp/assets/uploads/2025/05/2024_JobSearchReport.pdf
立命館大学,https://www.ritsumei.ac.jp/career/assets/files/introduction/placementdata2024.pdf
大阪大学,https://www.osaka-u.ac.jp/ja/campus/career/data
東北大学,https://www.tohoku.ac.jp/japanese/profile/about/06/about0605/
慶應義塾大学,https://drive.google.com/uc?export=download&id=1pa8GYb407CTMCIIpaLRN2dKJoLMuf-4G
